"filename", "language", "C++", "CMake", "JSON", "HTML", "Markdown", "Swift", "YAML", "Dart", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 39
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake", "CMake", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Projects\FlutterProjects\neuroparenting\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 570, 48, 369, 182, 17, 72, 81, 3419, 723, 9, 113, 354, 519, 6476
