"filename", "language", "JSON", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations_delegate.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\article\article.dart", "Dart", 0, 0, 0, 0, 484, 0, 0, 0, 0, 0, 2, 32, 518
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart", "Dart", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 6, 168
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 7, 6, 232
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart", "Dart", 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 1, 12, 256
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart", "Dart", 0, 0, 0, 0, 439, 0, 0, 0, 0, 0, 27, 12, 478
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart", "Dart", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 1, 5, 148
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\verify_email.dart", "Dart", 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 3, 5, 182
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\campaign\campaign.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart", "Dart", 0, 0, 0, 0, 327, 0, 0, 0, 0, 0, 4, 11, 342
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 8, 6, 160
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_email.dart", "Dart", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 5, 171
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_name.dart", "Dart", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 5, 170
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\change_password.dart", "Dart", 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 6, 5, 248
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart", "Dart", 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 9, 27, 411
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\under_construction\under_construction.dart", "Dart", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 128
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\theme_changer.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\file_picking.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\form_validator.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\localization_change.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 4, 21
